,XLF,XLF,XLI,XLI,XLRE,XLRE,AGG,AGG,SHY,SHY
,close,daily_return,close,daily_return,close,daily_return,close,daily_return,close,daily_return
timestamp,,,,,,,,,,
2018-09-10 04:00:00+00:00,28.29,-0.001411930815390039,77.99,0.005155303518494581,33.62,0.005382775119617156,105.91,0.0009450902561194408,83.14,0.00012029351617948159
2018-09-11 04:00:00+00:00,28.33,0.0014139271827500188,77.97,-0.00025644313373507366,33.63,0.00029744199881043265,105.73,-0.0016995562269851439,83.09,-0.0006013952369496867
2018-09-12 04:00:00+00:00,28.07,-0.009177550300035198,78.21,0.0030781069642169534,33.66,0.000892060660124816,105.8,0.0006620637472807278,83.09,0.0
2018-09-13 04:00:00+00:00,28.03,-0.0014250089063055915,78.64,0.005498018156246065,33.87,0.00623885918003575,105.87,0.0006616257088847277,83.1,0.00012035142616428907
2018-09-14 04:00:00+00:00,28.22,0.006778451658936868,79.07,0.00546795523906396,33.58,-0.008562149394744534,105.67,-0.0018891092849722124,83.07,-0.0003610108303249149
2018-09-17 04:00:00+00:00,28.13,-0.003189227498228253,79.1,0.0003794106487922111,33.77,0.005658129839190229,105.67,0.0,83.05,-0.00024076080414103807
2018-09-18 04:00:00+00:00,28.25,0.004265908282971909,79.82,0.009102402022755918,33.57,-0.005922416345869208,105.44,-0.0021765874893536763,83.04,-0.00012040939193247446
2018-09-19 04:00:00+00:00,28.73,0.016991150442477787,79.75,-0.0008769731896767219,33.25,-0.00953232052427766,105.24,-0.0018968133535660625,83.02,-0.00024084778420052633
2018-09-20 04:00:00+00:00,28.98,0.00870170553428462,79.87,0.001504702194357499,33.5,0.007518796992481258,105.38,0.0013302926643861124,83.05,0.00036135870874498544
2018-09-21 04:00:00+00:00,28.74,-0.008281573498964856,79.73,-0.0017528483786152238,33.15,-0.010447761194029903,105.46,0.0007591573353578074,83.03,-0.00024081878386505995
2018-09-24 04:00:00+00:00,28.42,-0.011134307585246916,78.63,-0.013796563401480055,32.5,-0.019607843137254832,105.36,-0.0009482268158542695,83.03,0.0
2018-09-25 04:00:00+00:00,28.31,-0.0038705137227306174,78.39,-0.0030522701259060314,32.47,-0.0009230769230769154,105.31,-0.00047456340167040256,83.04,0.00012043839576070248
2018-09-26 04:00:00+00:00,27.96,-0.012363122571529384,78.33,-0.0007654037504783995,32.11,-0.01108715737603938,105.56,0.0023739435951002363,83.05,0.00012042389209998561
2018-09-27 04:00:00+00:00,27.87,-0.0032188841201716833,78.45,0.0015319800842590325,32.21,0.0031142946122704185,105.63,0.0006631299734747298,83.05,0.0
2018-09-28 04:00:00+00:00,27.58,-0.010405453893075123,78.39,-0.000764818355640573,32.61,0.012418503570319706,105.52,-0.0010413708226829632,83.09,0.00048163756773034194
2018-10-01 04:00:00+00:00,27.69,0.003988397389412812,79.09,0.008929710422247661,32.36,-0.007666360012266171,105.24,-0.0026535253980287665,82.93,-0.0019256228186304014
2018-10-02 04:00:00+00:00,27.69,0.0,79.26,0.0021494499936780542,32.26,-0.0030902348578492056,105.36,0.0011402508551880963,82.96,0.00036175087423107044
2018-10-03 04:00:00+00:00,27.94,0.009028530155290815,79.6,0.004289679535705027,31.89,-0.011469311841289409,104.86,-0.004745634016704581,82.92,-0.00048216007714552145
2018-10-04 04:00:00+00:00,28.14,0.007158196134574135,79.34,-0.003266331658291377,31.74,-0.004703668861712251,104.56,-0.0028609574670989124,82.9,-0.00024119633381569638
2018-10-05 04:00:00+00:00,28.02,-0.004264392324093813,78.93,-0.005167632972019165,31.75,0.000315059861373701,104.33,-0.002199693955623583,82.89,-0.00012062726176120808
2018-10-08 04:00:00+00:00,28.19,0.006067094932191264,79.13,0.0025338907893068807,32.16,0.012913385826771595,104.29,-0.0003833988306335412,82.87,-0.00024128362890574184
2018-10-09 04:00:00+00:00,28.08,-0.003902092940759272,77.91,-0.015417667130039114,32.27,0.0034203980099505316,104.44,0.001438297056285176,82.9,0.0003620127911185822
2018-10-10 04:00:00+00:00,27.26,-0.029202279202279136,75.34,-0.03298677961750729,31.76,-0.015804152463588572,104.41,-0.0002872462657985686,82.92,0.00024125452352219412
2018-10-11 04:00:00+00:00,26.42,-0.030814380044020484,73.51,-0.0242898858508096,30.83,-0.029282115869017744,104.72,0.0029690642658748434,82.95,0.0003617945007237111
2018-10-12 04:00:00+00:00,26.43,0.00037850113550330633,73.9,0.005305400625765122,30.81,-0.0006487187804087302,104.75,0.00028647822765481834,82.95,0.0
2018-10-15 04:00:00+00:00,26.32,-0.004161937192584175,74.04,0.0018944519621109102,31.0,0.006166828951639225,104.68,-0.0006682577565632064,82.98,0.0003616636528029904
2018-10-16 04:00:00+00:00,26.74,0.015957446808510634,75.29,0.016882766072393363,31.58,0.018709677419354698,104.74,0.000573175391669789,82.95,-0.00036153289949392153
2018-10-17 04:00:00+00:00,27.02,0.010471204188481797,74.76,-0.007039447469783466,31.49,-0.0028499050031665085,104.53,-0.002004964674431897,82.945,-6.0277275467313096e-05
2018-10-18 04:00:00+00:00,26.58,-0.016284233900814238,73.45,-0.017522739432851875,31.5,0.0003175611305177295,104.46,-0.000669664211231269,83.0,0.0006630899993973483
